Name,FIPS,"% Educational Attainment | Bachelor's degree or higher, 2021 [Estimated]","Population Density (per square mile), 2021 [Estimated]","% Household Size | 1-person household, 2021 [Estimated]","% Household Size | 2-person household, 2021 [Estimated]","% Household Size | 3-person household, 2021 [Estimated]","% Household Size | 4-person household, 2021 [Estimated]","% Household Size | 5-person household, 2021 [Estimated]","% Household Size | 6-person household, 2021 [Estimated]","# Gini Index Of Income Inequality [B19083] | Gini Index, 2019","% Hispanic or Latino | Hispanic or Latino, 2021 [Estimated]"
"Beckham County, OK",40009,16.0487,24.1738,27.1298,37.1153,14.9518,9.7213,3.1304,4.8607,0.4523,15.9059
"Bedford County, PA",42009,14.9429,47.4759,29.7052,37.8863,13.1599,10.2377,4.7905,2.2909,0.4138,1.4211
"Bedford County, TN",47003,17.747,104.1721,18.6992,35.2188,17.1682,15.719,8.1283,3.0912,0.4434,14.0332
"Bedford County, VA",51019,30.0054,104.3571,22.0675,41.7124,14.7963,13.2932,4.2366,1.8361,0.4408,2.5819
"Bee County, TX",48025,9.7868,37.0751,24.164,32.3136,14.8749,11.0354,9.4996,4.3597,0.4868,59.3044
"Belknap County, NH",33001,33.5285,151.8748,27.3267,40.1786,15.2205,10.3238,3.7722,1.3358,0.4395,1.8614
"Bell County, KY",21013,9.4347,73.2242,30.4896,29.9551,18.3224,11.9859,3.2637,3.5118,0.4862,1.3768
"Bell County, TX",48027,25.8465,342.0466,26.486,32.3356,16.043,13.0702,7.1691,2.8573,0.4372,25.5912
"Belmont County, OH",39013,17.0604,126.4795,32.8034,34.9122,14.1571,10.1545,4.9596,1.9222,0.453,1.1931
"Beltrami County, MN",27007,29.3496,18.706,29.6757,36.1849,12.2669,12.5042,4.6446,1.8703,0.4506,2.8493
"Ben Hill County, GA",13017,11.9456,67.803,29.9536,34.1577,23.7094,6.9552,3.8331,0.6491,0.4845,6.958
"Benewah County, ID",16009,16.1121,11.7552,25.3834,43.6933,8.6385,11.7371,5.7277,2.4726,0.4029,3.8213
"Bennett County, SD",46007,16.4971,2.8895,20,34.7872,13.5106,9.4681,8.9362,5.5319,0.4366,5.5215
"Bennington County, VT",50003,36.1162,52.2299,32.153,34.7857,12.4042,13.2912,3.5552,1.7173,0.4714,2.4082
"Benson County, ND",38005,16.473,5.0002,22.9916,35.9521,12.2503,6.7909,10.0311,4.7492,0.5035,0.4177
"Bent County, CO",8011,12.2714,3.7895,29.8312,29.8312,9.9075,15.3511,10.6696,2.5585,0.4527,33.0542
"Benton County, AR",5007,33.9543,329.6929,22.1212,33.7197,16.3313,14.4895,7.6307,3.3094,0.4586,16.9524
"Benton County, IA",19011,22.2576,35.6304,23.6332,41.7211,11.6753,13.3028,6.5393,1.4131,0.4174,1.9361
"Benton County, IN",18007,15.9118,21.2122,28.7346,38.1371,8.8752,12.5366,6.2976,2.519,0.4039,5.1154
"Benton County, MN",27009,24.0257,99.0554,27.7289,38.5965,12.8735,10.8137,5.5266,2.443,0.4091,2.7223
"Benton County, MO",29015,14.417,27.281,30.7363,43.5183,9.4374,9.217,2.5149,2.0742,0.4669,2.3065
"Benton County, MS",28009,11.474,19.8885,33.8301,40.0127,6.3094,11.7311,6.0558,0.539,0.4587,3.858
"Benton County, OR",41003,53.1634,138.0917,25.4139,39.7335,15.2439,11.6681,4.7015,1.7824,0.4801,7.9164
"Benton County, TN",47005,13.1023,40.6968,39.9852,36.1869,11.4243,7.5964,2.5816,0.5193,0.4662,2.7108
"Benton County, WA",53005,30.7631,119.8055,24.871,34.032,15.5668,13.5599,6.0736,3.2117,0.4246,22.7365
"Benzie County, MI",26019,32.7405,55.3147,27.1697,45.8314,10.9766,8.7719,3.8503,1.6612,0.4119,3.0197
"Bergen County, NJ",34003,48.2942,4012.7661,23.2565,30.6206,17.8711,16.8483,7.0497,2.3931,0.4759,21.3599
"Berkeley County, SC",45015,25.6442,204.2504,22.4654,34.7914,18.8345,13.8237,5.9167,2.5302,0.4198,7.0099
